word,freq,percentage,match_count,volume_count,df
a,44,0.8301886792452831,7654943586.0,9069439.0,0.6985655105886206
a's,4,0.07547169811320754,2593.0,1896.0,0.00014603772163592749
abaft,2,0.03773584905660377,93796.0,34162.0,0.002631297809349449
abafter,1,0.018867924528301886,0.0,0.0,0.0
abaftest,1,0.018867924528301886,0.0,0.0,0.0
able,14,0.2641509433962264,91393708.0,4391325.0,0.3382379208665028
aboard,2,0.03773584905660377,3754613.0,817807.0,0.06299086024151528
about,48,0.9056603773584906,535438145.0,8004661.0,0.6165519276940744
abouter,1,0.018867924528301886,188.0,116.0,8.934797315278265e-06
aboutest,1,0.018867924528301886,0.0,0.0,0.0
above,33,0.6226415094339622,128631313.0,6309418.0,0.4859773362704169
abover,1,0.018867924528301886,400.0,393.0,3.0270477111244467e-05
abovest,1,0.018867924528301886,0.0,0.0,0.0
abroad,2,0.03773584905660377,13708651.0,2402930.0,0.18508355614484137
abst,3,0.05660377358490566,104193.0,24851.0,0.0019141262765687945
accordance,3,0.05660377358490566,12906825.0,2123194.0,0.16353713837081826
according,14,0.2641509433962264,89407474.0,6892617.0,0.5308977229900115
accordingly,11,0.20754716981132076,15449927.0,3520069.0,0.2711301987137435
across,28,0.5283018867924528,62985254.0,4777153.0,0.36795598102649574
act,3,0.05660377358490566,126418288.0,6036147.0,0.464928879398491
actual,3,0.05660377358490566,40940952.0,4225909.0,0.325496899894916
actually,11,0.20754716981132076,48318607.0,5097659.0,0.39264267196038005
added,4,0.07547169811320754,52386511.0,4478694.0,0.34496744075131786
address,1,0.018867924528301886,34006739.0,4071023.0,0.31356694285203507
adj,5,0.09433962264150944,765245.0,80058.0,0.006166396581608166
adopted,2,0.03773584905660377,26953662.0,3216834.0,0.24777379126634347
advance,1,0.018867924528301886,23178294.0,3518460.0,0.2710062669130514
advanced,1,0.018867924528301886,26015323.0,3871365.0,0.29818846214191586
aer,1,0.018867924528301886,181604.0,58357.0,0.004494896266618049
aest,1,0.018867924528301886,4758.0,2812.0,0.00021659181078071104
affected,3,0.05660377358490566,26098856.0,3376900.0,0.26010273322382044
affecting,3,0.05660377358490566,8794113.0,2365441.0,0.18219599910559597
affects,3,0.05660377358490566,7276199.0,1976956.0,0.1522732858726143
afore,2,0.03773584905660377,464929.0,174380.0,0.013431465136536412
aforesaid,1,0.018867924528301886,3413725.0,407145.0,0.03135998321490491
after,42,0.7924528301886793,401110215.0,9156976.0,0.7053079705247198
afterer,1,0.018867924528301886,0.0,0.0,0.0
afterest,1,0.018867924528301886,0.0,0.0,0.0
afterward,1,0.018867924528301886,5675989.0,1466834.0,0.11298159038930067
afterwards,20,0.37735849056603776,20101985.0,2675330.0,0.20606492501278792
again,34,0.6415094339622641,163091970.0,7485616.0,0.5765729460345175
against,35,0.660377358490566,205222260.0,6036292.0,0.46494004789513504
agin,1,0.018867924528301886,190334.0,69342.0,0.005341006167551943
ago,6,0.11320754716981132,36679528.0,3724994.0,0.2869143654364452
ah,3,0.05660377358490566,10062547.0,2429387.0,0.1871213831497579
ahead,4,0.07547169811320754,17255196.0,3026074.0,0.23308067112959793
aid,1,0.018867924528301886,33985476.0,4096934.0,0.31556271469027797
ain,2,0.03773584905660377,648328.0,221907.0,0.017092190240012534
ain't,6,0.11320754716981132,5713.0,4546.0,0.0003501516258211637
aint,1,0.018867924528301886,2184.0,1555.0,0.00011977249849360088
al,3,0.05660377358490566,94650401.0,3593336.0,0.27677352453183396
albeit,5,0.09433962264150944,3148452.0,1209158.0,0.09313432458747617
albums,1,0.018867924528301886,681041.0,204375.0,0.015741803459568927
all,45,0.8490566037735849,1031379950.0,9909393.0,0.763262223900321
aller,1,0.018867924528301886,399639.0,137136.0,0.010562779005413794
allest,1,0.018867924528301886,1662.0,623.0,4.798602351222723e-05
allow,10,0.18867924528301888,37004438.0,4253060.0,0.32758818163549464
allowable,1,0.018867924528301886,1874029.0,502354.0,0.03869337215964912
allowed,1,0.018867924528301886,41713294.0,3907536.0,0.30097450139787213
allowing,2,0.03773584905660377,12034660.0,3139419.0,0.241810969420117
allows,9,0.16981132075471697,18118232.0,2560889.0,0.19725020829246243
alls,1,0.018867924528301886,93612.0,73080.0,0.0056289223086253065
allyou,1,0.018867924528301886,3219.0,2497.0,0.00019232921462284332
almost,30,0.5660377358490566,111228636.0,6493353.0,0.500144766823742
alone,22,0.41509433962264153,61445348.0,4694851.0,0.3616167423313058
along,29,0.5471698113207547,93266092.0,5882165.0,0.45306855215537734
alongside,4,0.07547169811320754,4945518.0,1744958.0,0.13440384529028732
alreadi,1,0.018867924528301886,193.0,183.0,1.409541300599933e-05
already,27,0.5094339622641509,99098768.0,5412780.0,0.41691458803613696
also,38,0.7169811320754716,519307893.0,7642067.0,0.5886234458170398
although,28,0.5283018867924528,134992235.0,7487346.0,0.5767061977530987
alway,1,0.018867924528301886,142069.0,84473.0,0.006506458048392249
always,27,0.5094339622641509,144662903.0,5685970.0,0.4379568059547651
am,36,0.6792452830188679,118039546.0,5690729.0,0.4383233637170359
american,1,0.018867924528301886,164705046.0,4119387.0,0.3172921371395878
amid,5,0.09433962264150944,5106873.0,1643681.0,0.12660307401701631
amidst,4,0.07547169811320754,3074672.0,1136191.0,0.08751410600382178
among,32,0.6037735849056604,160675341.0,7349321.0,0.5660749443096394
amongst,22,0.41509433962264153,11925660.0,1896319.0,0.1460622923285445
amoungst,6,0.11320754716981132,1029.0,726.0,5.5919507335276035e-05
amount,6,0.11320754716981132,73927432.0,4252559.0,0.3275495925539864
amp,3,0.05660377358490566,1351979.0,180212.0,0.013880669773973505
an,50,0.9433962264150944,1363116521.0,10159418.0,0.782520178199911
analysis,1,0.018867924528301886,86268185.0,4753602.0,0.3661419860991499
analyze,1,0.018867924528301886,5257861.0,1451791.0,0.11182291663056161
and,49,0.9245283018867925,11315969857.0,11830809.0,0.9112575904376718
and-or,1,0.018867924528301886,0.0,0.0,0.0
and/or,1,0.018867924528301886,354.0,224.0,1.7253401712261477e-05
andor,1,0.018867924528301886,30567.0,10577.0,0.0008146840621008466
anear,1,0.018867924528301886,8155.0,5810.0,0.00044751010691178203
anent,2,0.03773584905660377,135822.0,51718.0,0.003983533168547942
ani,1,0.018867924528301886,556232.0,220724.0,0.01700107071221965
announce,3,0.05660377358490566,2461121.0,1221580.0,0.09409111814135881
anon,1,0.018867924528301886,1215310.0,398522.0,0.030695804273097625
anoth,1,0.018867924528301886,10687.0,9634.0,0.0007420503218568173
another,30,0.5660377358490566,222347954.0,8397816.0,0.6468343435431109
any,42,0.7924528301886793,491821918.0,7824852.0,0.60270229863836
anybody,15,0.2830188679245283,6971724.0,1779411.0,0.13705755711703976
anyhow,20,0.37735849056603776,1742889.0,672935.0,0.05183222268411016
anymore,3,0.05660377358490566,3435174.0,821014.0,0.0632378765776368
anyone,23,0.4339622641509434,26359751.0,3852833.0,0.29676105124668534
anyth,1,0.018867924528301886,1453.0,1393.0,0.00010729459189812606
anything,25,0.4716981132075472,62918902.0,4609259.0,0.35502409429846704
anyway,17,0.32075471698113206,9495964.0,2182633.0,0.16811537472963572
anyways,9,0.16981132075471697,92984.0,51980.0,0.004003713486622105
anywhere,21,0.39622641509433965,9136369.0,2684115.0,0.20674158186119068
ap,1,0.018867924528301886,3979263.0,1019402.0,0.07851853666197667
apart,11,0.20754716981132076,24259165.0,4808864.0,0.37039849273050257
aparter,1,0.018867924528301886,0.0,0.0,0.0
apartest,1,0.018867924528301886,0.0,0.0,0.0
apparently,3,0.05660377358490566,27155966.0,4394230.0,0.3384616759199587
appear,10,0.18867924528301888,56989852.0,4051099.0,0.31203231438902124
appeared,1,0.018867924528301886,44040615.0,3639601.0,0.280337045202449
appearing,1,0.018867924528301886,6380033.0,2290343.0,0.17641164213333074
appears,2,0.03773584905660377,51351576.0,3727630.0,0.2871174010030234
applicable,1,0.018867924528301886,11352136.0,2004456.0,0.15439144902925353
application,1,0.018867924528301886,49567767.0,4058828.0,0.31262763377220903
apply,1,0.018867924528301886,29009622.0,3562013.0,0.27436089818436443
appreciate,7,0.1320754716981132,7732270.0,2417339.0,0.18619339661480555
approach,2,0.03773584905660377,62516507.0,4698936.0,0.36193138584021023
appropriate,9,0.16981132075471697,40011226.0,3650890.0,0.28120657043427816
appropriated,1,0.018867924528301886,2606532.0,922853.0,0.07108193540341803
appropriater,1,0.018867924528301886,98.0,93.0,7.163242675179988e-06
